factor_name,factor_col,ret_horizon,ic_mean,rankic_mean,ic_std,icir,rankic_ir,n_days,pass
bap,bap_75m,ret200,-0.0130193307589556,-0.0093114744401942,0.0194544476274069,-0.6692213013858285,-0.3881584239969568,243,False
acc_mom,acc_mom_500_1000t,ret200,-0.0128848678369973,-0.0265973111893927,0.0325533700553148,-0.3958074944346253,-0.8486621929684044,244,False
oir,oir_15m,ret200,-0.0126882206368626,0.0003361452671694,0.0172674041149547,-0.734807649858256,0.015702511556083,244,False
acc_mom,acc_mom_600_1200t,ret200,-0.0111497026310955,-0.0245029792543754,0.0335844591621969,-0.3319899414561904,-0.7421063164284136,244,False
oir,oir_30m,ret200,-0.0108447790668247,0.000897164886262,0.018355808950211,-0.5908091055120782,0.0392853633590787,244,False
oir,oir_60m,ret200,-0.0099348288326599,0.0003944000140997,0.0205731004278134,-0.4829038222760421,0.0153222051277511,244,False
oir,oir_45m,ret200,-0.0097380438782011,0.0012894668636334,0.0192456480522375,-0.505986800328556,0.0535237121022556,244,False
acc_mom,acc_mom_25_50t,ret200,-0.0090842238642765,-0.0108143738431976,0.007275168879916,-1.2486615794383231,-1.45586351944015,244,False
ofd,ofd_60m,ret200,-0.008527827445116,-0.0108296940185812,0.0201628896154831,-0.4229466910619545,-0.3285674032611317,244,False
oir,oir_75m,ret200,-0.008222174943814,0.0016242772504206,0.0213649999100146,-0.3848432004888513,0.0605679650698408,244,False
ofd,ofd_45m,ret200,-0.0079578664711572,-0.0091024221182636,0.0189931532394785,-0.4189860614937966,-0.2910660319852113,244,False
ofd,ofd_15m,ret200,-0.0078222701357748,-0.0059832119569703,0.0169713718708289,-0.4609097128570993,-0.2125013273467593,244,False
ofd,ofd_30m,ret200,-0.0077919599401805,-0.0075479922962435,0.0183780997935699,-0.4239807176858792,-0.2508619148453878,244,False
ofd,ofd_75m,ret200,-0.0075203022787562,-0.0104993031244239,0.0210821812105862,-0.3567136722541799,-0.306797880283936,244,False
rsrs,rsrs_30m,ret200,-0.004773055536706,-0.0086816941163069,0.0089321778518794,-0.5343663791582209,-0.5973899938402085,244,False
rsrs,rsrs_60m,ret200,-0.0044241603124767,-0.0082503618108617,0.0096308212768916,-0.459375185695958,-0.5510569624987937,244,False
rsrs,rsrs_45m,ret200,-0.0043503994019815,-0.0081625623071222,0.0092487837290686,-0.4703752979225092,-0.5415336028719119,244,False
rsrs,rsrs_75m,ret200,-0.0037493227231707,-0.0073883178198768,0.0101162893003029,-0.3706223311603437,-0.4677443959105978,244,False
rsrs,rsrs_105m,ret200,-0.003578295103145,-0.007010486393253,0.0103607235288343,-0.3453711599567811,-0.4103915804830443,244,False
rigidity,rigidity_10m,ret200,0.003516894168799,0.0060211023494186,0.0144003953338939,0.2442220569126603,0.3841846844868397,244,False
neg_skew,neg_skew_15m,ret200,-0.003171385113363,0.0102802101406514,0.0125304244900487,-0.2530947866835348,0.7064374004416277,244,False
rigidity,rigidity_30m,ret200,0.0027563831948027,0.0082730788314412,0.0240267510807674,0.1147214280256596,0.284037141447977,244,False
rigidity,rigidity_20m,ret200,0.002580631206407,0.0073537323249112,0.0201276278294349,0.1282133805471665,0.286879337913188,244,False
neg_skew,neg_skew_30m,ret200,-0.0023861633133765,0.0128174476755126,0.0142196867307998,-0.1678070240610933,0.7805561286220266,244,False
pv_corr,pv_corr_200t,ret200,0.002320533448677,-0.0080793085110212,0.0169362034040095,0.1370161536987482,-0.4327978507828961,244,False
pv_corr,pv_corr_300t,ret200,0.00225730983326,-0.0064796647368143,0.0195331378464647,0.1155630933955969,-0.2884489262198764,244,False
rigidity,rigidity_90m,ret200,0.0022200099958393,0.0048787243103223,0.0288969222399709,0.0768251365112003,0.1344828921163406,244,False
pv_corr,pv_corr_100t,ret200,0.0021385645121968,-0.0095668534799211,0.0139047470811811,0.1538010364166357,-0.622277929330986,244,False
rigidity,rigidity_105m,ret200,0.0014922196181037,0.0033176061061521,0.0295588995035175,0.0504829220020917,0.0826166182614028,244,False
rigidity,rigidity_60m,ret200,0.0012199076235273,0.0077855841878289,0.0279801134604725,0.0435990949518722,0.2195695267132773,244,False
rigidity,rigidity_45m,ret200,0.0006627168835405,0.0068247798028255,0.0272542115776582,0.0243161274965589,0.2210798475392656,244,False
neg_skew,neg_skew_45m,ret200,-0.0006100869564229,0.015769605209871,0.0151012697181303,-0.0403997125943965,0.8863435651318055,244,False
neg_skew,neg_skew_60m,ret200,4.542295418285374e-07,0.0165104699705867,0.0165755117258557,2.740365120191097e-05,0.8256629652186493,244,False
mom,mom_5m,ret300,-0.0235715207712929,-0.0377882473572488,0.0244054944432645,-0.9658284459710365,-1.7856776821610538,243,True
bap,bap_15m,ret300,-0.0231101777732506,-0.0214734212188816,0.0164976684598497,-1.4008147775240931,-1.016704322373581,243,True
mom,mom_10m,ret300,-0.0214948923195458,-0.0376689193628619,0.0316249226409989,-0.6796820521445196,-1.383670224518738,243,True
bap,bap_30m,ret300,-0.0196740017775487,-0.0168412891638554,0.018602775593618,-1.0575842125568755,-0.7053321682271513,243,False
mom,mom_20m,ret300,-0.0185174836897097,-0.0351627645670576,0.0369910780601717,-0.5005932419592702,-1.065842344421717,243,False
bap,bap_45m,ret300,-0.0172831215563187,-0.0139674237790351,0.0209387743847413,-0.8254122824358529,-0.5293629079285251,243,False
bap,bap_60m,ret300,-0.0163262039649511,-0.0129663955276291,0.0226247602213371,-0.7216078228114894,-0.4591626456045938,243,False
amp_slice,amp_slice_1500t,ret300,-0.0157650030251901,-0.0333884371434389,0.042134649409681,-0.3741576884123278,-0.8753475733411081,244,False
mom,mom_30m,ret300,-0.0155170692873099,-0.0319719255404718,0.0381794752328322,-0.4064243731135957,-0.883182560774049,243,False
amp_slice,amp_slice_300t,ret300,-0.015225307249457,-0.0295256770113734,0.0255365607018278,-0.5962160459754965,-1.570544367512089,244,False
amp_slice,amp_slice_1200t,ret300,-0.0146504540017805,-0.0328361775433965,0.0391174675376939,-0.3745246030475584,-0.9787520413245128,244,False
bap,bap_75m,ret300,-0.0143139894664919,-0.0110653475835357,0.0242210045241115,-0.5909742286800153,-0.3713969499098561,243,False
oir,oir_15m,ret300,-0.0142718331604889,-0.0009345601371601,0.0207853713148045,-0.6866287325030229,-0.0359507377483107,244,False
amp_slice,amp_slice_900t,ret300,-0.0141911455401607,-0.0325756511477009,0.034760850922314,-0.4082508098514663,-1.1249838629615447,244,False
amp_slice,amp_slice_600t,ret300,-0.0140701820603731,-0.0318974217255972,0.032287988603246,-0.4357714019683049,-1.2275949475360952,244,False
mom,mom_45m,ret300,-0.0138593633224847,-0.0285221039127029,0.0412996843128983,-0.3355803695128085,-0.6905491573117475,243,False
mom,mom_90m,ret300,-0.0137093723858105,-0.0265276584329192,0.0463282024466702,-0.2959185045349389,-0.5282603522771332,243,False
acc_mom,acc_mom_200_400t,ret300,-0.0136517468511239,-0.0240833583191345,0.0236957129678986,-0.5761272880718312,-1.0426750363091015,244,False
acc_mom,acc_mom_150_300t,ret300,-0.0133695283140971,-0.0231294568038837,0.0183920631342021,-0.7269183569316356,-1.3063808994723398,244,False
acc_mom,acc_mom_300_600t,ret300,-0.013259733510336,-0.0246994119284165,0.0309575737592617,-0.4283195321910229,-0.8611232032334608,244,False
acc_mom,acc_mom_100_200t,ret300,-0.0130305063520988,-0.0213240130486311,0.0128503064657019,-1.014023003021591,-1.7703860140122114,244,False
oir,oir_30m,ret300,-0.0123870355141755,9.313598267937584e-05,0.0225083971348108,-0.5503295254648823,0.0033185238489409,244,False
mom,mom_60m,ret300,-0.0123309344078718,-0.0263829964912597,0.0428985015232664,-0.287444408779268,-0.5961749014729479,243,False
oir,oir_60m,ret300,-0.0117415025613969,-0.0005327817602299,0.0255196686675386,-0.460096199302628,-0.0167042615540853,244,False
oir,oir_45m,ret300,-0.0117308965244095,7.865626199616546e-05,0.0237259756999818,-0.4944326283036084,0.002647894380539,244,False
acc_mom,acc_mom_400_800t,ret300,-0.011048768495766,-0.0236857858509138,0.0346252338445954,-0.3190958520411724,-0.7328579799098082,244,False
acc_mom,acc_mom_50_100t,ret300,-0.0110444886392094,-0.0161485855952312,0.007020319055339,-1.5732174780304398,-2.2641319986755093,244,False
ofd,ofd_60m,ret300,-0.0103816802954812,-0.0133931156933195,0.0247526830057001,-0.4194163635954353,-0.3265169172821202,244,False
acc_mom,acc_mom_500_1000t,ret300,-0.0103753892748732,-0.0234156154441345,0.0375665698613713,-0.2761867616117363,-0.6365663634589697,244,False
oir,oir_75m,ret300,-0.0099268651772253,0.0007682541110792,0.0262662199695672,-0.3779327664478132,0.0232349868418845,244,False
ofd,ofd_45m,ret300,-0.0099132799286923,-0.0117740866299938,0.0234051331071978,-0.4235515296276493,-0.302288641125354,244,False
acc_mom,acc_mom_600_1200t,ret300,-0.0097404740950882,-0.0223701416869177,0.0391472476284125,-0.2488163200525691,-0.5743945268327757,244,False
ofd,ofd_75m,ret300,-0.0092748708013747,-0.0128319192534816,0.0259601464412428,-0.3572734392067901,-0.3001484948390941,244,False
ofd,ofd_30m,ret300,-0.0092534393003533,-0.0096060142363984,0.0223406609392005,-0.414197204171191,-0.2576128027586458,244,False
ofd,ofd_15m,ret300,-0.0091501804642304,-0.0080748158131731,0.0204851398482311,-0.4466740540714732,-0.2317644270652491,244,False
acc_mom,acc_mom_25_50t,ret300,-0.0073653241732518,-0.0092099232538626,0.0057732312077966,-1.2757715581016584,-1.5640403366123323,244,False
rsrs,rsrs_30m,ret300,-0.0055204235872646,-0.0098417064577428,0.0106507506393284,-0.5183131005696605,-0.553524229371295,244,False
rsrs,rsrs_45m,ret300,-0.0051141230560941,-0.0094083565686223,0.0112179879686273,-0.4558859458930127,-0.5131559231094879,244,False
rsrs,rsrs_60m,ret300,-0.0050583041875736,-0.0093696491912095,0.0119622572719323,-0.422855325093383,-0.5073013887566987,244,False
rsrs,rsrs_75m,ret300,-0.0045623358847013,-0.0087856446762444,0.0124683984600139,-0.3659119412435155,-0.4485751497363484,244,False
rsrs,rsrs_105m,ret300,-0.0043463494841814,-0.0082673465509049,0.0130024100035179,-0.3342726066171953,-0.3912923073853125,244,False
neg_skew,neg_skew_15m,ret300,-0.0037254566906116,0.0092315765608461,0.0144098171182693,-0.258536014720709,0.5491357134318209,244,False
pv_corr,pv_corr_200t,ret300,0.0030133248442709,-0.0082882296097036,0.0191535347259823,0.1573247386125176,-0.3821627057800313,244,False
neg_skew,neg_skew_30m,ret300,-0.0029295575511284,0.0125609604345636,0.0167206202414293,-0.1752062727834573,0.6405136836637466,244,False
pv_corr,pv_corr_300t,ret300,0.0028618925525618,-0.0070210376454988,0.0244792501120171,0.1169109568089624,-0.2529302507995001,244,False
rigidity,rigidity_20m,ret300,0.0022819433650226,0.005961581093104,0.0211800293045712,0.1077403308658372,0.2344887331889798,244,False
pv_corr,pv_corr_100t,ret300,0.0022765933350155,-0.0098150642425648,0.0152719549751657,0.1490701968881914,-0.5912026486517333,244,False
rigidity,rigidity_30m,ret300,0.0022141225880853,0.0073233508252753,0.0271950503361004,0.0814163813164997,0.2299989650748067,244,False
rigidity,rigidity_10m,ret300,0.0021613406722551,0.0047083335829221,0.0137974875118681,0.1566474092037428,0.3188176149891135,244,False
rigidity,rigidity_90m,ret300,0.0017432408903234,0.0033469244488769,0.0347642403302923,0.0501446565137355,0.0753085924826686,244,False
neg_skew,neg_skew_45m,ret300,-0.0013640862695634,0.0154816363351608,0.0184011880148261,-0.0741303370447799,0.7078304282054306,244,False
rigidity,rigidity_60m,ret300,0.0012689920883154,0.0071286021935477,0.0323498761229449,0.0392271081191373,0.1693524485618919,244,False
rigidity,rigidity_105m,ret300,0.0009751513469172,0.0014469596568144,0.0368985563188561,0.0264278997392339,0.028941724868699,244,False
neg_skew,neg_skew_60m,ret300,-0.0005870418396325,0.0166703842204313,0.020292731443377,-0.028928675337303,0.6700614050029129,244,False
rigidity,rigidity_45m,ret300,0.0001683316772772,0.0058127387577078,0.0311819720573773,0.0053983653428828,0.1584921182574838,244,False
